City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Burnie,AU,-41.0667,145.9167,66.94,55,2,9.66,Clear
1,Batemans Bay,AU,-35.7167,150.1833,71.2,59,67,11.16,Rain
2,Punta Arenas,CL,-53.15,-70.9167,42.91,61,75,11.5,Clouds
3,Norman Wells,CA,65.282,-126.8329,-47.16,66,20,0.0,Clouds
4,Bredasdorp,ZA,-34.5322,20.0403,60.28,77,100,3.44,Clouds
5,Tiksi,RU,71.6872,128.8694,-11.78,100,100,5.41,Clouds
6,Zhoucheng,CN,35.9122,116.3117,41.05,28,15,13.78,Clouds
7,Robertsport,LR,6.7533,-11.3686,76.17,90,6,5.82,Clear
8,Mount Isa,AU,-20.7333,139.5,87.57,27,100,11.5,Clouds
9,Hermanus,ZA,-34.4187,19.2345,62.91,72,93,10.87,Clouds
10,Albany,US,42.6001,-73.9662,36.3,91,100,3.0,Snow
11,Namatanai,PG,-3.6667,152.4333,83.37,73,81,10.22,Clouds
12,Hithadhoo,MV,-0.6,73.0833,81.88,74,100,10.87,Clouds
13,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,52,99,8.05,Clouds
14,Coolum Beach,AU,-26.5333,153.1,80.33,69,35,5.99,Clouds
15,Vostok,RU,46.4856,135.8833,2.37,85,99,6.58,Clouds
16,Waipawa,NZ,-41.4122,175.5153,72.23,49,94,3.69,Clouds
17,Hasaki,JP,35.7333,140.8333,46.8,60,100,6.08,Clouds
18,Yellowknife,CA,62.456,-114.3525,-30.44,68,20,3.44,Clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,68,40,8.05,Clouds
20,Marrakesh,MA,31.6315,-8.0083,55.47,50,0,4.61,Clear
21,Qaanaaq,GL,77.484,-69.3632,-12.28,53,99,8.75,Clouds
22,Ponta Do Sol,PT,32.6667,-17.1,62.13,73,16,2.71,Clouds
23,Bella Union,UY,-30.2752,-57.6007,68.52,89,30,6.06,Clouds
24,Port Blair,IN,11.6667,92.75,82.44,69,20,9.22,Clouds
25,Upernavik,GL,72.7868,-56.1549,5.72,70,100,3.71,Clouds
26,North Bend,US,43.4065,-124.2243,45.07,99,75,6.91,Clouds
27,Sao Filipe,CV,14.8961,-24.4956,72.43,75,0,6.51,Clear
28,Hami,CN,42.8,93.45,27.57,28,10,3.18,Clear
29,Vanimo,PG,-2.6741,141.3028,85.26,64,54,5.88,Clouds
30,Arraial Do Cabo,BR,-22.9661,-42.0278,75.42,91,100,6.26,Clouds
31,Saint George,US,37.1041,-113.5841,39.79,35,0,3.0,Clear
32,Port Elizabeth,ZA,-33.918,25.5701,67.1,77,100,11.5,Clouds
33,Kodiak,US,57.79,-152.4072,36.91,87,100,8.05,Mist
34,Ushuaia,AR,-54.8,-68.3,35.02,91,59,3.2,Clouds
35,Severo-Kurilsk,RU,50.6789,156.125,30.74,87,100,9.01,Snow
36,Codrington,AU,-38.2667,141.9667,65.48,66,74,16.78,Clouds
37,Adrar,MR,20.5022,-10.0711,58.71,23,0,10.45,Clear
38,Mataura,NZ,-46.1927,168.8643,53.47,99,100,3.36,Rain
39,Borne,NL,52.3,6.75,46.31,90,99,10.0,Clouds
40,East London,ZA,-33.0153,27.9116,67.14,82,0,11.5,Clear
41,Derzhavinsk,KZ,51.1,66.3167,11.86,76,65,7.47,Clouds
42,Bluff,NZ,-46.6,168.3333,53.8,81,100,5.84,Rain
43,Samarai,PG,-10.6167,150.6667,83.35,73,90,6.06,Clouds
44,Torbay,CA,47.6666,-52.7314,39.76,90,100,26.46,Clouds
45,San Patricio,US,28.017,-97.5169,35.69,74,61,15.61,Clouds
46,Katsuura,JP,35.1333,140.3,46.44,75,100,9.53,Clouds
47,Altay,CN,47.8667,88.1167,13.3,69,5,1.48,Clear
48,Bathsheba,BB,13.2167,-59.5167,75.81,73,40,11.5,Clouds
49,Saint-Louis,SN,16.3333,-15.0,70.52,10,0,10.74,Clear
50,Faanui,PF,-16.4833,-151.75,81.28,72,4,15.61,Clear
51,New Norfolk,AU,-42.7826,147.0587,73.65,35,3,3.0,Clear
52,Port Alfred,ZA,-33.5906,26.891,70.43,71,98,15.32,Clouds
53,Morris,US,40.8334,-74.5329,52.68,92,100,1.01,Rain
54,Mkushi,ZM,-13.6202,29.3939,64.02,98,100,4.47,Clouds
55,Hobart,AU,-42.8794,147.3294,74.01,45,20,1.01,Clouds
56,Butaritari,KI,3.0707,172.7902,81.84,77,17,15.57,Rain
57,La Rioja,ES,42.25,-2.5,41.31,50,95,3.65,Clouds
58,Kaka,TM,37.3482,59.6143,51.39,31,85,4.09,Clouds
59,Khatanga,RU,71.9667,102.5,-31.47,100,90,4.21,Clouds
60,Busselton,AU,-33.65,115.3333,101.05,34,42,13.27,Clouds
61,Kahului,US,20.8947,-156.47,72.84,77,0,8.05,Clear
62,Dudinka,RU,69.4058,86.1778,-21.8,100,60,4.05,Clouds
63,Cherskiy,RU,68.75,161.3,-31.38,99,12,2.15,Clouds
64,Hambantota,LK,6.1241,81.1185,81.61,67,3,4.52,Clear
65,Coihaique,CL,-45.5752,-72.0662,51.75,87,0,1.14,Clear
66,Coruripe,BR,-10.1256,-36.1756,77.14,75,69,8.66,Clouds
67,Cape Town,ZA,-33.9258,18.4232,64.11,64,20,4.0,Clouds
68,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,80,97,11.61,Clouds
69,Gilgit,PK,35.9221,74.3087,25.65,48,0,5.46,Clear
70,Carballo,ES,43.213,-8.691,52.86,93,100,2.86,Clouds
71,Victor Harbor,AU,-35.5667,138.6167,80.91,66,1,4.0,Clear
72,Carnarvon,AU,-24.8667,113.6333,95.18,36,38,5.66,Clouds
73,Mount Gambier,AU,-37.8333,140.7667,75.11,46,75,18.41,Clouds
74,Harrisburg,US,40.2737,-76.8844,57.65,92,100,5.99,Mist
75,Komsomolskiy,UZ,40.4272,71.7189,40.42,65,2,0.0,Clear
76,Hilo,US,19.7297,-155.09,71.4,94,30,1.01,Clouds
77,Luzhou,CN,28.8724,105.4405,53.28,51,90,3.53,Clouds
78,Marsa Matruh,EG,31.3525,27.2453,56.21,63,85,30.2,Clouds
79,Chuy,UY,-33.6971,-53.4616,70.27,97,100,2.86,Rain
80,Rikitea,PF,-23.1203,-134.9692,78.33,74,100,16.75,Rain
81,Esperance,AU,-33.8667,121.9,80.17,48,9,16.75,Clear
82,Ribeira Grande,PT,38.5167,-28.7,58.37,76,100,17.63,Clouds
83,Jiayuguan,CN,39.8167,98.3,20.41,34,81,7.63,Clouds
84,Vila Velha,BR,-20.3297,-40.2925,75.15,94,75,1.01,Clouds
85,Kortkeros,RU,61.8106,51.5806,14.0,99,89,3.58,Clouds
86,Pafos,CY,34.7667,32.4167,48.11,87,40,6.91,Rain
87,Clyde River,CA,70.4692,-68.5914,-5.57,84,100,31.07,Snow
88,Catabola,AO,-12.15,17.2833,60.3,97,100,4.18,Rain
89,Sur,OM,22.5667,59.5289,72.16,40,0,3.71,Clear
90,Say,NE,13.1007,2.3689,66.76,16,0,13.98,Clear
91,Marsaxlokk,MT,35.8419,14.5431,54.09,76,0,6.91,Clear
92,Victoria,HK,22.2855,114.1577,63.25,71,64,1.01,Clouds
93,Boa Vista,BR,2.8197,-60.6733,80.58,65,0,9.22,Clear
94,Caconda,AO,-13.7333,15.0667,57.56,83,100,2.33,Clouds
95,Ulfborg,DK,56.2673,8.3217,45.01,91,100,22.21,Clouds
96,Kapaa,US,22.0752,-159.319,71.92,65,0,5.75,Clear
97,Tomobe,JP,36.35,140.3,46.31,32,98,4.7,Clouds
98,Pangai,TO,-19.8,-174.35,81.84,76,100,15.75,Rain
99,Georgetown,MY,5.4112,100.3354,91.35,66,20,5.75,Clouds
100,Coahuayana,MX,18.7333,-103.6833,66.87,76,39,3.94,Clouds
101,Castro,BR,-24.7911,-50.0119,64.31,98,100,4.23,Rain
102,Airai,TL,-8.9266,125.4092,73.78,61,77,5.14,Clouds
103,Vaini,TO,-21.2,-175.2,82.56,89,75,10.36,Clouds
104,Garowe,SO,8.4054,48.4845,67.71,40,2,9.91,Clear
105,Pacific Grove,US,36.6177,-121.9166,52.14,87,0,1.01,Clear
106,Jamestown,US,42.097,-79.2353,21.09,69,100,5.99,Snow
107,Upata,VE,8.0086,-62.3989,69.1,91,42,4.88,Clouds
108,Tasiilaq,GL,65.6145,-37.6368,10.56,57,86,5.37,Clouds
109,Canoa,DO,18.355,-71.1585,72.05,83,19,2.08,Clouds
110,Fort Nelson,CA,58.8053,-122.7002,-11.61,77,100,3.44,Snow
111,Mar Del Plata,AR,-38.0023,-57.5575,68.09,93,78,1.01,Mist
112,Yumen,CN,40.2833,97.2,21.27,26,91,14.43,Clouds
113,Poum,NC,-20.2333,164.0167,82.26,84,94,12.01,Rain
114,Dikson,RU,73.5069,80.5464,-8.91,95,100,3.71,Clouds
115,Qaqortoq,GL,60.7167,-46.0333,25.3,93,100,13.18,Snow
116,Pelym,RU,61.0108,61.9978,3.74,99,92,3.8,Clouds
117,Valjevo,RS,44.2751,19.8982,31.01,76,100,7.38,Clouds
118,Kavieng,PG,-2.5744,150.7967,83.8,71,63,8.12,Clouds
119,Kazanskaya,RU,45.4106,40.4361,36.19,98,100,8.37,Rain
120,Skibbereen,IE,51.55,-9.2667,45.1,70,63,17.78,Clouds
121,Hofn,IS,64.2539,-15.2082,30.2,55,100,15.95,Clouds
122,Mahebourg,MU,-20.4081,57.7,83.25,89,75,24.16,Clouds
123,Kaitangata,NZ,-46.2817,169.8464,49.5,95,100,3.96,Rain
124,Lorengau,PG,-2.0226,147.2712,84.27,61,100,9.22,Clouds
125,Fortuna,US,40.5982,-124.1573,42.93,94,100,0.0,Clouds
126,Kulhudhuffushi,MV,6.6221,73.07,80.82,71,21,9.93,Clouds
127,Saint-Raphael,HT,19.4333,-72.2,65.43,98,41,3.56,Clouds
128,Kiruna,SE,67.8557,20.2251,2.32,85,100,3.44,Clouds
129,Luanda,AO,-8.8368,13.2343,75.2,88,75,3.44,Clouds
130,Avarua,CK,-21.2078,-159.775,80.65,83,20,17.27,Clouds
131,Te Anau,NZ,-45.4167,167.7167,48.76,96,100,4.18,Rain
132,Ordzhonikidze,KZ,52.4411,61.7408,18.32,85,100,13.0,Clouds
133,Atuona,PF,-9.8,-139.0333,78.57,74,2,18.57,Clear
134,Chokurdakh,RU,70.6333,147.9167,-28.03,100,52,1.19,Clouds
135,Odweyne,SO,9.4092,45.064,66.74,26,14,1.97,Clouds
136,Pokhara,NP,28.2333,83.9833,52.68,82,100,3.27,Clouds
137,Puerto Ayora,EC,-0.7393,-90.3518,74.55,93,7,1.01,Clear
138,Ust-Nera,RU,64.5667,143.2,-11.24,95,86,3.2,Clouds
139,Bethel,US,41.3712,-73.414,51.89,92,100,9.22,Rain
140,Salalah,OM,17.0151,54.0924,78.89,25,0,13.8,Clear
141,Geraldton,AU,-28.7667,114.6,100.81,18,0,14.97,Clear
142,Grand Gaube,MU,-20.0064,57.6608,83.37,81,100,13.0,Clouds
143,Belaya Gora,RU,68.5333,146.4167,-34.91,100,31,2.53,Clouds
144,Macroom,IE,51.9,-8.95,37.54,83,67,9.4,Clouds
145,Saskylakh,RU,71.9167,114.0833,-12.77,98,100,2.13,Clouds
146,Ibra,OM,22.6906,58.5334,65.75,53,0,2.24,Clear
147,Luganville,VU,-15.5333,167.1667,76.68,96,100,3.24,Rain
148,Hay River,CA,60.8156,-115.7999,-25.62,68,20,3.44,Clouds
149,Marshfield,US,44.6689,-90.1718,-4.09,71,0,3.44,Clear
150,Boa Esperanca Do Sul,BR,-21.9925,-48.3908,69.15,96,100,1.7,Rain
151,Barzas,RU,55.7167,86.3167,8.83,95,100,7.47,Clouds
152,Anori,BR,-3.7728,-61.6442,72.27,99,94,1.3,Clouds
153,Mahajanga,MG,-15.7167,46.3167,84.22,74,20,8.05,Clouds
154,Eureka,US,40.8021,-124.1637,43.2,86,1,2.77,Clear
155,Chifeng,CN,42.2683,118.9636,15.4,33,1,17.45,Clear
156,Saint-Philippe,RE,-21.3585,55.7679,80.15,93,100,31.74,Rain
157,Nuuk,GL,64.1835,-51.7216,12.81,85,75,11.5,Clouds
158,Cabo San Lucas,MX,22.8909,-109.9124,65.52,64,34,5.75,Clouds
159,Beringovskiy,RU,63.05,179.3167,-0.81,79,100,18.16,Clouds
160,Oranjemund,NA,-28.55,16.4333,63.46,81,3,18.19,Clear
161,Snezhnogorsk,RU,69.1933,33.2531,-7.82,99,100,6.76,Clouds
162,Laguna,US,38.421,-121.4238,50.95,77,0,0.0,Clear
163,Maldonado,UY,-34.6667,-54.9167,72.23,97,100,0.65,Clouds
164,Yeppoon,AU,-23.1333,150.7333,85.78,74,100,15.75,Rain
165,Hamilton,US,39.1834,-84.5333,24.24,91,100,3.0,Clouds
166,Sokoni,TZ,-6.4333,39.55,81.12,79,100,11.77,Clouds
167,Sisimiut,GL,66.9395,-53.6735,9.82,81,91,21.92,Clouds
168,Ust-Kan,RU,50.9276,84.761,10.62,78,40,3.87,Clouds
169,Santa Cruz,BO,-17.8,-63.1667,74.66,94,40,9.22,Clouds
170,Bay Roberts,CA,47.5999,-53.2648,40.51,90,100,7.0,Rain
171,Jadu,LY,31.953,12.0261,42.94,53,0,7.47,Clear
172,Narsaq,GL,60.9167,-46.05,25.02,95,100,9.46,Snow
173,Ust-Tsilma,RU,65.441,52.1498,4.14,99,99,3.18,Clouds
174,Bar,UA,49.0772,27.6826,17.08,97,96,3.76,Snow
175,Sitrah,BH,26.1547,50.6206,66.36,61,0,3.0,Clear
176,Cidreira,BR,-30.1811,-50.2056,75.43,90,90,18.43,Clouds
177,Montrose,US,38.4166,-108.2673,5.36,68,2,0.29,Clear
178,Ahipara,NZ,-35.1667,173.1667,75.43,74,52,13.76,Clouds
179,Noumea,NC,-22.2763,166.4572,85.98,96,98,6.67,Clouds
180,Vaxjo,SE,56.8777,14.8091,37.58,100,100,6.91,Fog
181,Danielskuil,ZA,-28.1887,23.5395,63.16,64,0,5.7,Clear
182,Ilave,PE,-16.0833,-69.6667,44.46,84,88,3.53,Rain
183,Prince Rupert,CA,54.3161,-130.3201,44.69,87,100,18.41,Rain
184,Penzance,GB,50.1186,-5.5371,52.81,90,98,29.86,Rain
185,Barrow,US,71.2906,-156.7887,-27.38,68,100,3.44,Haze
186,Tigzirt,DZ,36.8886,4.1198,57.04,48,87,8.25,Clouds
187,Riyadh,SA,24.6877,46.7219,62.74,47,0,4.61,Clear
188,Porlamar,VE,10.958,-63.8491,86.09,66,1,14.97,Clear
189,Ixtapa,MX,20.7,-105.2,69.22,83,0,0.0,Clear
190,Long Beach,US,33.767,-118.1892,61.27,71,0,0.0,Clear
191,Lebu,CL,-37.6167,-73.65,58.98,95,11,12.41,Clouds
192,Senanga,ZM,-16.1167,23.2667,66.02,96,98,3.04,Rain
193,Poykovskiy,RU,61.2333,73.3333,19.69,92,100,8.95,Snow
194,Taman,RU,45.2117,36.7161,35.92,83,100,17.38,Clouds
195,Bubaque,GW,11.2833,-15.8333,76.87,70,0,8.95,Clear
196,Manokwari,ID,-0.8667,134.0833,81.7,75,91,4.85,Clouds
197,Aracaju,BR,-10.9111,-37.0717,80.55,74,20,5.75,Clouds
198,Ko Samui,TH,9.5357,99.9357,87.71,66,40,12.66,Clouds
199,Sitka,US,57.0531,-135.33,46.29,76,100,17.27,Rain
200,Alta Floresta,BR,-9.8756,-56.0861,70.66,96,52,0.4,Clouds
201,Kyaikkami,MM,16.08,97.5675,83.01,43,75,6.31,Clouds
202,Korla,CN,41.7597,86.1469,29.41,35,100,5.77,Clouds
203,Taoudenni,ML,22.6783,-3.9836,60.03,21,23,9.19,Clouds
204,Vorukh,TJ,39.8494,70.5838,33.4,43,2,3.09,Clear
205,Roald,NO,62.5833,6.1333,37.9,87,75,24.16,Clouds
206,Dalhousie,IN,32.5333,75.9833,31.93,92,100,1.54,Snow
207,Teya,RU,60.3778,92.6267,15.91,89,97,6.98,Clouds
208,Souillac,MU,-20.5167,57.5167,83.35,89,75,24.16,Rain
209,Nikolskoye,RU,59.7035,30.7861,-0.09,100,100,3.02,Clouds
210,Sassandra,CI,4.95,-6.0833,74.93,92,6,2.82,Clear
211,Pevek,RU,69.7008,170.3133,-20.69,100,28,1.74,Clouds
212,Opuwo,NA,-18.0607,13.84,62.64,57,3,4.27,Clear
213,Sonaguera,HN,15.6333,-86.3333,67.23,80,1,3.89,Clear
214,Paamiut,GL,61.994,-49.6678,20.46,73,100,25.72,Clouds
215,Thompson,CA,55.7435,-97.8558,-21.84,76,0,4.61,Clear
216,Mareeba,AU,-17.0,145.4333,86.72,95,100,3.6,Clouds
217,Lata,PT,40.1629,-8.3327,47.07,97,98,1.52,Clouds
218,Ancud,CL,-41.8697,-73.8203,58.53,96,31,3.58,Clouds
219,Iqaluit,CA,63.7506,-68.5145,-9.31,63,100,8.99,Snow
220,Tautira,PF,-17.7333,-149.15,82.42,77,40,14.54,Rain
221,Fukue,JP,32.6881,128.8419,44.96,49,75,16.11,Clouds
222,Maxixe,MZ,-23.8597,35.3472,80.2,76,4,2.26,Clear
223,Chute-Aux-Outardes,CA,49.1168,-68.399,7.11,55,75,12.66,Clouds
224,Punta Cardon,VE,11.6581,-70.215,77.29,82,9,23.47,Clear
225,Alofi,NU,-19.0595,-169.9187,75.09,100,100,8.05,Clouds
226,Rassvet,RU,46.8333,40.75,34.2,100,100,10.29,Clouds
227,Santa Pola,ES,38.1917,-0.5658,60.42,57,0,5.75,Clear
228,Lagoa,PT,39.05,-27.9833,57.6,77,100,10.8,Clouds
229,La Grande,US,45.3246,-118.0877,32.16,81,37,4.81,Clouds
230,Bloomfield,US,40.8068,-74.1854,54.9,95,100,0.0,Rain
231,Xuddur,SO,4.1213,43.8894,73.04,49,67,22.73,Clouds
232,Mutsu,JP,41.2894,141.2169,28.99,100,100,6.91,Clouds
233,General Pico,AR,-35.6566,-63.7568,65.82,89,75,13.73,Clouds
234,Japura,ID,-0.3167,102.35,88.27,55,89,4.59,Clouds
235,Nicolae Balcescu,RO,46.4667,26.9167,25.2,80,100,1.14,Clouds
236,Fairbanks,US,64.8378,-147.7164,0.09,55,100,10.36,Clouds
237,Port Macquarie,AU,-31.4333,152.9167,75.88,88,75,19.57,Rain
238,Silver City,US,32.7701,-108.2803,24.67,81,100,0.0,Clouds
239,Umm Kaddadah,SD,13.6017,26.6876,62.38,18,2,21.61,Clear
240,Santarem,BR,-2.4431,-54.7083,75.33,100,40,4.61,Clouds
241,Lulea,SE,65.5842,22.1547,6.87,92,100,9.22,Clouds
242,Sinnamary,GF,5.3833,-52.95,75.96,90,100,10.09,Rain
243,Ostrovnoy,RU,68.0531,39.5131,7.7,96,100,6.26,Clouds
244,Saldanha,ZA,-33.0117,17.9442,57.25,75,0,19.8,Clear
245,Iskateley,RU,67.6803,53.1512,-1.59,100,98,3.62,Clouds
246,Haines Junction,CA,60.7522,-137.5108,-2.25,78,100,0.0,Clouds
247,Nabire,ID,-3.3667,135.4833,81.0,86,94,6.85,Clouds
248,Huarmey,PE,-10.0681,-78.1522,70.99,83,28,7.49,Clouds
249,Linjiang,CN,41.8069,126.9078,12.09,64,100,8.1,Clouds
250,Wukari,NG,7.85,9.7833,70.36,16,15,8.95,Clouds
251,Negotin,RS,44.2264,22.5308,32.61,77,98,0.76,Clouds
252,Quesnel,CA,52.9999,-122.5029,32.5,80,100,12.66,Snow
253,Teahupoo,PF,-17.8333,-149.2667,76.96,77,47,15.23,Rain
254,Birao,CF,10.2849,22.7882,66.24,24,32,5.53,Clouds
255,Moron,AR,-34.6534,-58.6198,71.98,93,1,4.38,Clear
256,Tilichiki,RU,60.4667,166.1,4.78,87,100,8.28,Clouds
257,Taitung,TW,22.7583,121.1444,70.07,83,75,3.44,Clouds
258,Nizwa,OM,22.9333,57.5333,67.06,43,2,1.81,Clear
259,Starobaltachevo,RU,56.0013,55.9213,28.98,97,100,9.04,Snow
260,Margate,GB,51.3813,1.3862,49.96,82,87,23.49,Clouds
261,Matara,LK,5.9485,80.5353,83.57,62,8,4.88,Clear
262,Coromandel,BR,-18.4733,-47.2003,67.68,90,100,2.33,Clouds
263,Rocha,UY,-34.4833,-54.3333,70.09,96,100,10.51,Clouds
264,Mansa,IN,29.9833,75.3833,55.56,79,92,4.16,Clouds
265,Waterloo,CA,43.4668,-80.5164,13.64,92,100,8.01,Clouds
266,Bangui,CF,4.3612,18.555,68.18,68,74,0.0,Clouds
267,Khani,GE,41.9563,42.9566,31.57,81,100,4.85,Clouds
268,Maltahohe,NA,-24.8333,16.9833,70.14,53,9,10.49,Clear
269,Los Llanos De Aridane,ES,28.6585,-17.9182,61.12,64,0,5.01,Clear
270,Taltal,CL,-25.4,-70.4833,66.29,76,0,2.66,Clear
271,Amilly,FR,47.9728,2.7719,44.04,91,100,10.13,Clouds
272,Kimbe,PG,-5.5502,150.1429,84.9,71,96,10.49,Rain
273,Bambous Virieux,MU,-20.3428,57.7575,83.21,89,75,24.16,Rain
274,Shitkino,RU,56.3703,98.3543,13.1,87,100,5.35,Clouds
275,Rawson,AR,-43.3002,-65.1023,69.87,58,100,8.28,Rain
276,Saquena,PE,-4.6667,-73.5167,72.45,98,100,1.41,Clouds
277,Kaeo,NZ,-35.1,173.7833,75.33,88,97,9.26,Clouds
278,Batagay-Alyta,RU,67.8006,130.4114,-18.38,98,93,2.04,Clouds
279,Frontera,MX,26.9333,-101.45,32.32,77,85,5.99,Clouds
280,Dunda,TZ,-8.1167,34.25,65.57,96,100,2.04,Rain
281,Requena,ES,39.4883,-1.1004,48.79,66,51,6.71,Clouds
282,Naze,JP,28.3667,129.4833,54.52,69,99,17.07,Clouds
283,Hualmay,PE,-11.0964,-77.6139,70.12,83,89,7.78,Clouds
284,Diego De Almagro,CL,-26.3667,-70.05,62.15,41,0,1.7,Clear
