City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Robertsport,LR,76.17,Clear,6.7533,-11.3686,Kwepunha Retreat
8,Mount Isa,AU,87.57,Clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
11,Namatanai,PG,83.37,Clouds,-3.6667,152.4333,Seagulls Inn Namatani
12,Hithadhoo,MV,81.88,Clouds,-0.6,73.0833,Scoop Guest House
14,Coolum Beach,AU,80.33,Clouds,-26.5333,153.1,Coolum Beach Resort
24,Port Blair,IN,82.44,Clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
29,Vanimo,PG,85.26,Clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
30,Arraial Do Cabo,BR,75.42,Clouds,-22.9661,-42.0278,Pousada Porto Praia
43,Samarai,PG,83.35,Clouds,-10.6167,150.6667,Nuli Sapi
48,Bathsheba,BB,75.81,Clouds,13.2167,-59.5167,Atlantis Hotel
50,Faanui,PF,81.28,Clear,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
56,Butaritari,KI,81.84,Rain,3.0707,172.7902,Isles Sunset Lodge
64,Hambantota,LK,81.61,Clear,6.1241,81.1185,Bungalow 63
66,Coruripe,BR,77.14,Clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
71,Victor Harbor,AU,80.91,Clear,-35.5667,138.6167,McCracken Country Club
73,Mount Gambier,AU,75.11,Clouds,-37.8333,140.7667,The Commodore
80,Rikitea,PF,78.33,Rain,-23.1203,-134.9692,People ThankYou
81,Esperance,AU,80.17,Clear,-33.8667,121.9,Hospitality Esperance
84,Vila Velha,BR,75.15,Clouds,-20.3297,-40.2925,Quality Suites Vila Velha
93,Boa Vista,BR,80.58,Clear,2.8197,-60.6733,Aipana Plaza Hotel
98,Pangai,TO,81.84,Rain,-19.8,-174.35,Ha'apai Beach Resort
103,Vaini,TO,82.56,Clouds,-21.2,-175.2,Keleti Beach Resort
113,Poum,NC,82.26,Rain,-20.2333,164.0167,
118,Kavieng,PG,83.8,Clouds,-2.5744,150.7967,Nusa Island Retreat
122,Mahebourg,MU,83.25,Clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
124,Lorengau,PG,84.27,Clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
126,Kulhudhuffushi,MV,80.82,Clouds,6.6221,73.07,Haajy Guest House 1
129,Luanda,AO,75.2,Clouds,-8.8368,13.2343,Hotel Fórum
130,Avarua,CK,80.65,Clouds,-21.2078,-159.775,Paradise Inn
133,Atuona,PF,78.57,Clear,-9.8,-139.0333,Villa Enata
140,Salalah,OM,78.89,Clear,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
142,Grand Gaube,MU,83.37,Clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
147,Luganville,VU,76.68,Rain,-15.5333,167.1667,The Espiritu Hotel
153,Mahajanga,MG,84.22,Clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
156,Saint-Philippe,RE,80.15,Rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
164,Yeppoon,AU,85.78,Rain,-23.1333,150.7333,Villa Mar Colina
